RouteID,DisruptionID,DisruptionType,Severity,DelayMinutes,CapacityReduction,OriginalStops,ReroutedStops,StopsLost,OriginalDistance(KM),ReroutedDistance(KM),DistanceChange(KM),OriginalTime(Hours),DisruptedTime(Hours),ReroutedTime(Hours),TimeChange(Hours),RecoveryEfficiency(%),StopsConstraint,TimeConstraint,RecoverySuccessful
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,DISRUPTION_8353c03c-43c3-4640-b9ab-853d61bf0e42,ROAD_CLOSURE,HIGH,0.0,0.0,190,150,40,52.43,40.05,-12.39,1.75,1.75,1.33,-0.41,23.62,True,True,True
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,DISRUPTION_1283b272-64cf-4507-883a-eaaf6de273f6,TRAFFIC_DELAY,LOW,11.0,0.0,190,150,40,52.43,40.01,-12.42,1.75,1.93,1.33,-0.41,23.69,True,True,True
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,DISRUPTION_ef6528c4-be5e-46ee-b4c5-6ab463ad471a,TRAFFIC_DELAY,MEDIUM,26.0,0.0,161,150,11,70.17,52.79,-17.39,2.34,2.77,1.76,-0.58,24.78,True,True,True
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,DISRUPTION_e129d943-6725-4735-9516-48f0f05eb8a7,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,10.0,161,135,26,70.17,46.71,-23.46,2.34,2.57,1.56,-0.78,33.43,True,True,True
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,DISRUPTION_c8d451eb-1416-4477-886f-92887a910be8,NEW_STOP,MEDIUM,0.0,0.0,155,150,5,80.6,68.43,-12.17,2.69,2.69,2.28,-0.41,15.1,True,True,True
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,DISRUPTION_1a37a412-f55f-48f1-89e8-9d6f613f5eca,TRAFFIC_DELAY,HIGH,39.0,0.0,155,150,5,80.6,68.43,-12.17,2.69,3.34,2.28,-0.41,15.1,True,True,True
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DISRUPTION_8fa5545e-2de6-447d-823b-9730d7f67737,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,31.0,177,103,74,40.37,22.29,-18.08,1.35,1.76,0.74,-0.6,44.79,True,True,True
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DISRUPTION_ef588552-1a3c-45e8-88bc-1ca4bad2e5e9,TRAFFIC_DELAY,LOW,15.0,0.0,177,150,27,40.37,30.85,-9.51,1.35,1.6,1.03,-0.32,23.57,True,True,True
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,DISRUPTION_34f850bd-d328-402b-be0b-cee00f2a4e2d,ROAD_CLOSURE,HIGH,0.0,0.0,59,58,1,25.93,24.98,-0.95,0.86,0.86,0.83,-0.03,3.66,True,True,True
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,DISRUPTION_f106a999-6645-4443-beb3-d3c44cfb929b,TRAFFIC_DELAY,LOW,6.0,0.0,59,59,0,25.93,25.27,-0.66,0.86,0.96,0.84,-0.02,2.55,True,True,True
RouteID_00595235-52e7-4b68-883c-70482701dea0,DISRUPTION_6fd729ba-c1e7-44a9-9dd5-b6319965c42d,NEW_STOP,MEDIUM,0.0,0.0,129,129,0,31.12,27.21,-3.91,1.04,1.04,0.91,-0.13,12.55,True,True,True
RouteID_00595235-52e7-4b68-883c-70482701dea0,DISRUPTION_246ed6f5-2a66-4641-8b07-0afad8166c80,ROAD_CLOSURE,HIGH,0.0,0.0,129,128,1,31.12,27.13,-3.99,1.04,1.04,0.9,-0.13,12.81,True,True,True
RouteID_006f581c-3087-4edf-8802-278b078157b9,DISRUPTION_67a4f0ee-ee40-4e90-90e9-884c4e56bef9,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,10.0,185,135,50,56.5,36.22,-20.29,1.88,2.07,1.21,-0.68,35.9,True,True,True
RouteID_006f581c-3087-4edf-8802-278b078157b9,DISRUPTION_379b6b07-bc1c-4ccd-bfce-abdd6764ddd8,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,46.0,185,81,104,56.5,27.62,-28.88,1.88,2.75,0.92,-0.96,51.12,True,True,True
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,DISRUPTION_773a987c-f124-47a1-a60f-66d8903f329b,TRAFFIC_DELAY,HIGH,50.0,0.0,173,150,23,58.07,48.19,-9.88,1.94,2.77,1.61,-0.33,17.02,True,True,True
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,DISRUPTION_072af70c-aac0-4085-8851-6777862541d6,ROAD_CLOSURE,MEDIUM,0.0,0.0,173,150,23,58.07,48.23,-9.84,1.94,1.94,1.61,-0.33,16.95,True,True,True
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,DISRUPTION_6d4a41cd-2966-4653-9ba5-20d04b3cf839,ROAD_CLOSURE,HIGH,0.0,0.0,161,150,11,30.45,20.99,-9.46,1.02,1.02,0.7,-0.32,31.07,True,True,True
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,DISRUPTION_84594ab2-335f-4810-8313-895852eaf0a5,NEW_STOP,LOW,0.0,0.0,161,150,11,30.45,20.94,-9.52,1.02,1.02,0.7,-0.32,31.25,True,True,True
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,DISRUPTION_98c53896-6273-4d1b-bd20-14ed7ae8dd56,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,6.0,130,130,0,43.63,40.37,-3.27,1.45,1.54,1.35,-0.11,7.48,True,True,True
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,DISRUPTION_6450d179-9bf4-46e5-95db-4dfd6144d657,TRAFFIC_DELAY,MEDIUM,27.0,0.0,130,130,0,43.63,40.37,-3.27,1.45,1.9,1.35,-0.11,7.48,True,True,True
RouteID_007a8397-37f4-4775-a452-c6934167526b,DISRUPTION_5afeb7ac-330f-4236-8ec8-ef4e7a825c57,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,6.0,176,141,35,31.45,21.41,-10.05,1.05,1.11,0.71,-0.33,31.94,True,True,True
RouteID_007a8397-37f4-4775-a452-c6934167526b,DISRUPTION_a434b67d-6583-42cd-a60d-644182f28f3f,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,10.0,176,135,41,31.45,20.62,-10.83,1.05,1.15,0.69,-0.36,34.44,True,True,True
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,DISRUPTION_f2fd153d-e24a-4959-8fc1-95b4cc1d19a8,NEW_STOP,MEDIUM,0.0,0.0,78,78,0,26.01,24.32,-1.68,0.87,0.87,0.81,-0.06,6.47,True,True,True
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,DISRUPTION_cdd93ad0-8529-458d-906b-7ad8aa8adbc4,ROAD_CLOSURE,HIGH,0.0,0.0,78,77,1,26.01,24.28,-1.73,0.87,0.87,0.81,-0.06,6.65,True,True,True
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,DISRUPTION_4a8d06d0-26d7-4a24-bbfd-e153ef966b1a,ROAD_CLOSURE,MEDIUM,0.0,0.0,145,144,1,41.94,36.66,-5.28,1.4,1.4,1.22,-0.18,12.58,True,True,True
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,DISRUPTION_50c7dcec-a2f4-46aa-833f-55584e1915f4,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,43.0,145,85,60,41.94,22.99,-18.94,1.4,2.0,0.77,-0.63,45.17,True,True,True
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DISRUPTION_64293ff7-6c50-4da7-bf01-5f02ae792437,NEW_STOP,LOW,0.0,0.0,153,150,3,58.99,52.29,-6.69,1.97,1.97,1.74,-0.22,11.34,True,True,True
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DISRUPTION_d88b4a61-f5fa-46a7-9aa9-bb82566c4363,ROAD_CLOSURE,HIGH,0.0,0.0,153,150,3,58.99,52.38,-6.6,1.97,1.97,1.75,-0.22,11.19,True,True,True
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,DISRUPTION_80143bbf-ac31-4bee-af90-bc38d8ab19c7,TRAFFIC_DELAY,LOW,6.0,0.0,157,150,7,29.55,28.52,-1.03,0.99,1.09,0.95,-0.03,3.49,True,True,True
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,DISRUPTION_e9b770df-8dc1-4560-a7ef-677a0482e246,ROAD_CLOSURE,MEDIUM,0.0,0.0,157,150,7,29.55,28.62,-0.94,0.99,0.99,0.95,-0.03,3.17,True,True,True
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,DISRUPTION_c1097fda-4d69-4285-b9dc-6f6a8dfedc55,NEW_STOP,MEDIUM,0.0,0.0,174,150,24,36.84,28.49,-8.34,1.23,1.23,0.95,-0.28,22.65,True,True,True
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,DISRUPTION_384f57ba-2f04-4a21-b49a-3c618a7dcf05,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,25.0,174,112,62,36.84,23.74,-13.1,1.23,1.53,0.79,-0.44,35.57,True,True,True
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,DISRUPTION_a1616893-2fc0-4b12-a144-828606286e54,TRAFFIC_DELAY,HIGH,58.0,0.0,80,80,0,25.35,24.78,-0.57,0.85,1.81,0.83,-0.02,2.25,True,True,True
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,DISRUPTION_c7af502f-910e-4c15-9487-b2257b9ecbc3,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,35.0,80,80,0,25.35,24.78,-0.57,0.85,1.14,0.83,-0.02,2.25,True,True,True
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,DISRUPTION_8c6ca020-f6d9-4c37-acb1-ae92f1066d05,TRAFFIC_DELAY,MEDIUM,28.0,0.0,141,141,0,30.96,22.93,-8.03,1.03,1.5,0.76,-0.27,25.93,True,True,True
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,DISRUPTION_f599586b-263e-4588-b926-897daf94ba7a,ROAD_CLOSURE,HIGH,0.0,0.0,141,140,1,30.96,22.83,-8.12,1.03,1.03,0.76,-0.27,26.23,True,True,True
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,DISRUPTION_207a2b07-ff9d-44ff-8f25-fa3bf79e7296,TRAFFIC_DELAY,HIGH,58.0,0.0,139,139,0,46.5,45.49,-1.01,1.55,2.52,1.52,-0.03,2.18,True,True,True
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,DISRUPTION_e1bc5189-c1aa-4fd5-9f17-0530650baf11,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,49.0,139,76,63,46.5,33.09,-13.41,1.55,2.31,1.1,-0.45,28.83,True,True,True
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,DISRUPTION_b70c226c-12a3-46ad-b06d-27f2a235f314,ROAD_CLOSURE,MEDIUM,0.0,0.0,159,150,9,34.05,31.61,-2.44,1.13,1.13,1.05,-0.08,7.15,True,True,True
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,DISRUPTION_992b81e6-7bee-4878-84cf-991575afcbd9,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,41.0,159,88,71,34.05,20.35,-13.7,1.13,1.6,0.68,-0.46,40.23,True,True,True
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,DISRUPTION_6d1e8815-3075-40c2-b706-5ce143c0f4a1,ROAD_CLOSURE,MEDIUM,0.0,0.0,136,135,1,41.26,38.5,-2.75,1.38,1.38,1.28,-0.09,6.68,True,True,True
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,DISRUPTION_c2f88ec3-3595-49cd-b038-46c3bb30d6a4,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,9.0,136,136,0,41.26,38.51,-2.75,1.38,1.5,1.28,-0.09,6.66,True,True,True
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,DISRUPTION_a8862278-4788-4884-8078-0eb6efb29996,TRAFFIC_DELAY,HIGH,40.0,0.0,167,150,17,44.25,34.77,-9.47,1.47,2.14,1.16,-0.32,21.41,True,True,True
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,DISRUPTION_d4374445-3e34-4f59-b6b6-06d47aac2e67,NEW_STOP,MEDIUM,0.0,0.0,167,150,17,44.25,34.77,-9.47,1.47,1.47,1.16,-0.32,21.41,True,True,True
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,DISRUPTION_4c85b211-e799-483a-81d3-b51a8df64434,ROAD_CLOSURE,MEDIUM,0.0,0.0,198,150,48,33.73,20.35,-13.38,1.12,1.12,0.68,-0.45,39.67,True,True,True
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,DISRUPTION_1bec358f-a4df-49f9-ab81-f0433fc5d5e5,ROAD_CLOSURE,MEDIUM,0.0,0.0,198,150,48,33.73,20.35,-13.38,1.12,1.12,0.68,-0.45,39.66,True,True,True
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,DISRUPTION_10a97f6c-d577-4811-b985-ed8ca193f540,TRAFFIC_DELAY,HIGH,45.0,0.0,164,150,14,50.08,44.77,-5.32,1.67,2.42,1.49,-0.18,10.62,True,True,True
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,DISRUPTION_1556a079-92d0-4655-95d8-d11241e7f33e,TRAFFIC_DELAY,HIGH,54.0,0.0,164,150,14,50.08,44.77,-5.32,1.67,2.57,1.49,-0.18,10.62,True,True,True
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,DISRUPTION_d311c9a5-2840-4ca2-8bb7-5a5473500481,ROAD_CLOSURE,MEDIUM,0.0,0.0,146,145,1,55.93,52.01,-3.93,1.86,1.86,1.73,-0.13,7.02,True,True,True
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,DISRUPTION_45e678d4-e97c-43dc-b837-ae537ee99ea0,NEW_STOP,MEDIUM,0.0,0.0,146,146,0,55.93,52.36,-3.57,1.86,1.86,1.75,-0.12,6.38,True,True,True
