RouteID,DisruptionID,DisruptionType,Severity,DelayMinutes,CapacityReduction,TotalStops,StopsLost,DistanceChange(KM),TimeChange(Hours),RecoveryEfficiency(%),RecoverySuccessful,RiskScore,RiskLevel,PriorityScore,AI_Decision,Recommendation
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,DISRUPTION_8353c03c-43c3-4640-b9ab-853d61bf0e42,ROAD_CLOSURE,HIGH,0,0,190,40,-12.39,-0.41,23.62,True,96,HIGH,71.2,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,DISRUPTION_1a37a412-f55f-48f1-89e8-9d6f613f5eca,TRAFFIC_DELAY,HIGH,39,0,154,5,-12.17,-0.41,15.1,True,88,HIGH,69.9,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,DISRUPTION_207a2b07-ff9d-44ff-8f25-fa3bf79e7296,TRAFFIC_DELAY,HIGH,58,0,138,0,-1.01,-0.03,2.18,True,82,HIGH,69.0,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,DISRUPTION_a1616893-2fc0-4b12-a144-828606286e54,TRAFFIC_DELAY,HIGH,58,0,80,0,-0.57,-0.02,2.25,True,80,HIGH,67.6,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,DISRUPTION_6d4a41cd-2966-4653-9ba5-20d04b3cf839,ROAD_CLOSURE,HIGH,0,0,161,11,-9.46,-0.32,31.07,True,93,HIGH,66.2,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,DISRUPTION_ef6528c4-be5e-46ee-b4c5-6ab463ad471a,TRAFFIC_DELAY,MEDIUM,26,0,161,11,-17.39,-0.58,24.78,True,85,HIGH,65.8,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,DISRUPTION_d45948d9-bc2e-492b-aefe-d9c603f46037,TRAFFIC_DELAY,HIGH,43,0,106,0,-0.39,-0.01,0.96,True,80,HIGH,64.6,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,DISRUPTION_4c85b211-e799-483a-81d3-b51a8df64434,ROAD_CLOSURE,MEDIUM,0,0,198,48,-13.38,-0.45,39.67,True,81,HIGH,61.5,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,DISRUPTION_1bec358f-a4df-49f9-ab81-f0433fc5d5e5,ROAD_CLOSURE,MEDIUM,0,0,198,48,-13.38,-0.45,39.66,True,81,HIGH,61.5,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DISRUPTION_dff6dfaf-90f0-45bd-830e-a847e06fff18,ROAD_CLOSURE,HIGH,0,0,155,5,-10.03,-0.33,20.69,True,86,HIGH,60.7,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DISRUPTION_5a3ed1dd-482f-4573-8829-b6f0eff5ebb8,VEHICLE_CAPACITY_REDUCTION,MEDIUM,0,14,155,26,-14.88,-0.5,30.68,True,83,HIGH,60.7,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,DISRUPTION_c7af502f-910e-4c15-9487-b2257b9ecbc3,VEHICLE_CAPACITY_REDUCTION,HIGH,0,35,80,0,-0.57,-0.02,2.25,True,85,HIGH,59.5,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,DISRUPTION_ca4bf0e3-e06f-4188-8aef-9abbb2d56409,TRAFFIC_DELAY,HIGH,36,0,141,0,-4.4,-0.15,9.63,True,74,HIGH,59.0,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DISRUPTION_d88b4a61-f5fa-46a7-9aa9-bb82566c4363,ROAD_CLOSURE,HIGH,0,0,153,3,-6.6,-0.22,11.19,True,81,HIGH,57.0,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,DISRUPTION_072af70c-aac0-4085-8851-6777862541d6,ROAD_CLOSURE,MEDIUM,0,0,173,23,-9.84,-0.33,16.95,True,78,HIGH,56.9,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_006f581c-3087-4edf-8802-278b078157b9,DISRUPTION_67a4f0ee-ee40-4e90-90e9-884c4e56bef9,VEHICLE_CAPACITY_REDUCTION,LOW,0,10,184,50,-20.29,-0.68,35.9,True,71,HIGH,54.7,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,DISRUPTION_f599586b-263e-4588-b926-897daf94ba7a,ROAD_CLOSURE,HIGH,0,0,141,1,-8.12,-0.27,26.23,True,78,HIGH,54.7,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00595235-52e7-4b68-883c-70482701dea0,DISRUPTION_246ed6f5-2a66-4641-8b07-0afad8166c80,ROAD_CLOSURE,HIGH,0,0,129,1,-3.99,-0.13,12.81,True,75,HIGH,52.6,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,DISRUPTION_cdd93ad0-8529-458d-906b-7ad8aa8adbc4,ROAD_CLOSURE,HIGH,0,0,78,1,-1.73,-0.06,6.65,True,73,HIGH,51.2,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,DISRUPTION_34f850bd-d328-402b-be0b-cee00f2a4e2d,ROAD_CLOSURE,HIGH,0,0,59,1,-0.95,-0.03,3.66,True,73,HIGH,51.2,IMMEDIATE_REROUTE,Trigger immediate dynamic rerouting and notify fleet operator
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,DISRUPTION_e129d943-6725-4735-9516-48f0f05eb8a7,VEHICLE_CAPACITY_REDUCTION,LOW,0,10,161,26,-23.46,-0.78,33.43,True,68,MEDIUM,50.2,REBALANCE_LOAD_AND_REROUTE,Rebalance vehicle load and recalculate route
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,DISRUPTION_1283b272-64cf-4507-883a-eaaf6de273f6,TRAFFIC_DELAY,LOW,11,0,190,40,-12.42,-0.41,23.69,True,62,MEDIUM,49.6,REROUTE_TRAFFIC_AVOIDANCE,Recalculate route using traffic-aware alternatives
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,DISRUPTION_8c6ca020-f6d9-4c37-acb1-ae92f1066d05,TRAFFIC_DELAY,MEDIUM,28,0,141,0,-8.03,-0.27,25.93,True,62,MEDIUM,49.0,REROUTE_TRAFFIC_AVOIDANCE,Recalculate route using traffic-aware alternatives
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,DISRUPTION_b70c226c-12a3-46ad-b06d-27f2a235f314,ROAD_CLOSURE,MEDIUM,0,0,159,9,-2.44,-0.08,7.15,True,68,MEDIUM,48.5,REROUTE_AVOID_CLOSED_ROAD,Avoid affected road and recalculate route
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,DISRUPTION_e9b770df-8dc1-4560-a7ef-677a0482e246,ROAD_CLOSURE,MEDIUM,0,0,157,7,-0.94,-0.03,3.17,True,68,MEDIUM,48.3,REROUTE_AVOID_CLOSED_ROAD,Avoid affected road and recalculate route
RouteID_007a8397-37f4-4775-a452-c6934167526b,DISRUPTION_a434b67d-6583-42cd-a60d-644182f28f3f,VEHICLE_CAPACITY_REDUCTION,LOW,0,10,176,41,-10.83,-0.36,34.44,True,63,MEDIUM,48.2,REBALANCE_LOAD_AND_REROUTE,Rebalance vehicle load and recalculate route
RouteID_007a8397-37f4-4775-a452-c6934167526b,DISRUPTION_5afeb7ac-330f-4236-8ec8-ef4e7a825c57,VEHICLE_CAPACITY_REDUCTION,LOW,0,6,176,35,-10.05,-0.33,31.94,True,63,MEDIUM,47.6,REBALANCE_LOAD_AND_REROUTE,Rebalance vehicle load and recalculate route
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DISRUPTION_ef588552-1a3c-45e8-88bc-1ca4bad2e5e9,TRAFFIC_DELAY,LOW,15,0,176,27,-9.51,-0.32,23.57,True,59,MEDIUM,47.0,REROUTE_TRAFFIC_AVOIDANCE,Recalculate route using traffic-aware alternatives
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,DISRUPTION_6450d179-9bf4-46e5-95db-4dfd6144d657,TRAFFIC_DELAY,MEDIUM,27,0,129,0,-3.27,-0.11,7.48,True,59,MEDIUM,46.7,REROUTE_TRAFFIC_AVOIDANCE,Recalculate route using traffic-aware alternatives
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,DISRUPTION_c1097fda-4d69-4285-b9dc-6f6a8dfedc55,NEW_STOP,MEDIUM,0,0,173,24,-8.34,-0.28,22.65,True,63,MEDIUM,46.5,INSERT_STOP_OPTIMALLY,Insert new stop at the most efficient position
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,DISRUPTION_d4374445-3e34-4f59-b6b6-06d47aac2e67,NEW_STOP,MEDIUM,0,0,167,17,-9.47,-0.32,21.41,True,63,MEDIUM,45.8,INSERT_STOP_OPTIMALLY,Insert new stop at the most efficient position
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,DISRUPTION_574e0a38-5dea-46ed-8e75-ddfad66c1ae9,ROAD_CLOSURE,MEDIUM,0,0,128,1,-1.82,-0.06,3.51,True,60,MEDIUM,42.1,REROUTE_AVOID_CLOSED_ROAD,Avoid affected road and recalculate route
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,DISRUPTION_d311c9a5-2840-4ca2-8bb7-5a5473500481,ROAD_CLOSURE,MEDIUM,0,0,146,1,-3.93,-0.13,7.02,True,60,MEDIUM,42.1,REROUTE_AVOID_CLOSED_ROAD,Avoid affected road and recalculate route
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,DISRUPTION_4a8d06d0-26d7-4a24-bbfd-e153ef966b1a,ROAD_CLOSURE,MEDIUM,0,0,145,1,-5.28,-0.18,12.58,True,60,MEDIUM,42.1,REROUTE_AVOID_CLOSED_ROAD,Avoid affected road and recalculate route
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,DISRUPTION_6d1e8815-3075-40c2-b706-5ce143c0f4a1,ROAD_CLOSURE,MEDIUM,0,0,136,1,-2.75,-0.09,6.68,True,60,MEDIUM,42.1,REROUTE_AVOID_CLOSED_ROAD,Avoid affected road and recalculate route
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DISRUPTION_572c9974-37cf-4482-8456-bb7ddfbcf2a7,ROAD_CLOSURE,MEDIUM,0,0,119,1,-2.89,-0.1,8.62,True,58,MEDIUM,40.7,REROUTE_AVOID_CLOSED_ROAD,Avoid affected road and recalculate route
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,DISRUPTION_fd1c85c7-1160-440a-a25a-c9169b629075,ROAD_CLOSURE,MEDIUM,0,0,106,1,-0.39,-0.01,0.96,True,58,MEDIUM,40.7,REROUTE_AVOID_CLOSED_ROAD,Avoid affected road and recalculate route
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,DISRUPTION_c8d451eb-1416-4477-886f-92887a910be8,NEW_STOP,MEDIUM,0,0,154,5,-12.17,-0.41,15.1,True,56,MEDIUM,39.7,INSERT_STOP_OPTIMALLY,Insert new stop at the most efficient position
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,DISRUPTION_84594ab2-335f-4810-8313-895852eaf0a5,NEW_STOP,LOW,0,0,161,11,-9.52,-0.32,31.25,True,48,MEDIUM,34.7,INSERT_STOP_OPTIMALLY,Insert new stop at the most efficient position
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,DISRUPTION_80143bbf-ac31-4bee-af90-bc38d8ab19c7,TRAFFIC_DELAY,LOW,6,0,157,7,-1.03,-0.03,3.49,True,43,MEDIUM,32.0,REROUTE_TRAFFIC_AVOIDANCE,Recalculate route using traffic-aware alternatives
RouteID_00595235-52e7-4b68-883c-70482701dea0,DISRUPTION_6fd729ba-c1e7-44a9-9dd5-b6319965c42d,NEW_STOP,MEDIUM,0,0,129,0,-3.91,-0.13,12.55,True,42,MEDIUM,29.4,INSERT_STOP_OPTIMALLY,Insert new stop at the most efficient position
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,DISRUPTION_98c53896-6273-4d1b-bd20-14ed7ae8dd56,VEHICLE_CAPACITY_REDUCTION,LOW,0,6,129,0,-3.27,-0.11,7.48,True,42,MEDIUM,29.4,REBALANCE_LOAD_AND_REROUTE,Rebalance vehicle load and recalculate route
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,DISRUPTION_c2f88ec3-3595-49cd-b038-46c3bb30d6a4,VEHICLE_CAPACITY_REDUCTION,LOW,0,9,136,0,-2.75,-0.09,6.66,True,42,MEDIUM,29.4,REBALANCE_LOAD_AND_REROUTE,Rebalance vehicle load and recalculate route
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,DISRUPTION_45e678d4-e97c-43dc-b837-ae537ee99ea0,NEW_STOP,MEDIUM,0,0,146,0,-3.57,-0.12,6.38,True,42,MEDIUM,29.4,INSERT_STOP_OPTIMALLY,Insert new stop at the most efficient position
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,DISRUPTION_f2fd153d-e24a-4959-8fc1-95b4cc1d19a8,NEW_STOP,MEDIUM,0,0,78,0,-1.68,-0.06,6.47,True,40,MEDIUM,28.0,INSERT_STOP_OPTIMALLY,Insert new stop at the most efficient position
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DISRUPTION_64293ff7-6c50-4da7-bf01-5f02ae792437,NEW_STOP,LOW,0,0,153,3,-6.69,-0.22,11.34,True,36,LOW,25.5,INSERT_STOP_OPTIMALLY,Continue current route and monitor disruption
RouteID_001948e9-4675-486d-9ec5-912fd8e0770f,DISRUPTION_ed7c542e-c937-4de0-970f-db8ed3c40507,TRAFFIC_DELAY,LOW,6,0,128,0,-1.36,-0.05,2.63,True,32,LOW,23.6,MONITOR_TRAFFIC,Continue current route and monitor disruption
RouteID_00143bdd-0a6b-49ec-bb35-36593d303e77,DISRUPTION_5368798c-b1b3-4b17-be8c-b79e90058577,TRAFFIC_DELAY,LOW,9,0,119,0,-2.76,-0.09,8.23,True,30,LOW,22.8,MONITOR_TRAFFIC,Continue current route and monitor disruption
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,DISRUPTION_f106a999-6645-4443-beb3-d3c44cfb929b,TRAFFIC_DELAY,LOW,6,0,59,0,-0.66,-0.02,2.55,True,30,LOW,22.2,MONITOR_TRAFFIC,Continue current route and monitor disruption
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,DISRUPTION_f0908b76-4fe7-425c-b896-c68912356438,NEW_STOP,LOW,0,0,141,0,-4.4,-0.15,9.63,True,27,LOW,18.9,INSERT_STOP_OPTIMALLY,Continue current route and monitor disruption
