RouteID,DisruptionID,DisruptionType,Severity,DelayMinutes,CapacityReduction,TotalStops,OriginalDistance(KM),DisruptedDistance(KM),ReroutedDistance(KM),OriginalTime(Hours),DisruptedTime(Hours),ReroutedTime(Hours),DistanceImpact(KM),DistanceRecovered(KM),TimeImpact(Hours),TimeRecovered(Hours),DistanceRecovery(%),TimeRecovery(%),RecoveryEfficiency(%),SuccessfulRecovery
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,DISRUPTION_98c53896-6273-4d1b-bd20-14ed7ae8dd56,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,6.0,130,43.63,44.94,40.37,1.45,1.45,1.35,1.31,4.57,0.0,0.1,100,0,100.0,True
RouteID_0076d53c-6bfa-4e22-b39e-08769fb8e4d3,DISRUPTION_6450d179-9bf4-46e5-95db-4dfd6144d657,TRAFFIC_DELAY,MEDIUM,27.0,0.0,130,43.63,44.51,40.37,1.45,1.9,1.35,0.87,4.14,0.45,0.55,100,100,100.0,True
RouteID_007a8397-37f4-4775-a452-c6934167526b,DISRUPTION_5afeb7ac-330f-4236-8ec8-ef4e7a825c57,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,6.0,176,31.45,32.4,21.41,1.05,1.05,0.71,0.94,10.99,0.0,0.34,100,0,100.0,True
RouteID_007a8397-37f4-4775-a452-c6934167526b,DISRUPTION_a434b67d-6583-42cd-a60d-644182f28f3f,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,10.0,176,31.45,32.4,20.62,1.05,1.05,0.69,0.94,11.78,0.0,0.36,100,0,100.0,True
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,DISRUPTION_f2fd153d-e24a-4959-8fc1-95b4cc1d19a8,NEW_STOP,MEDIUM,0.0,0.0,78,26.01,27.31,24.32,0.87,0.87,0.81,1.3,2.99,0.0,0.06,100,0,100.0,True
RouteID_007b8544-11dc-47b2-be61-0095f8f2af71,DISRUPTION_cdd93ad0-8529-458d-906b-7ad8aa8adbc4,ROAD_CLOSURE,HIGH,0.0,0.0,78,26.01,28.09,24.28,0.87,0.87,0.81,2.08,3.81,0.0,0.06,100,0,91.47,True
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,DISRUPTION_4a8d06d0-26d7-4a24-bbfd-e153ef966b1a,ROAD_CLOSURE,MEDIUM,0.0,0.0,145,41.94,45.29,36.66,1.4,1.4,1.22,3.35,8.63,0.0,0.18,100,0,100.0,True
RouteID_0091a35c-85fa-4b5e-90cf-4778f441753e,DISRUPTION_50c7dcec-a2f4-46aa-833f-55584e1915f4,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,43.0,145,41.94,43.19,22.99,1.4,1.4,0.77,1.26,20.2,0.0,0.63,100,0,100.0,True
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DISRUPTION_64293ff7-6c50-4da7-bf01-5f02ae792437,NEW_STOP,LOW,0.0,0.0,153,58.99,61.93,52.29,1.97,1.97,1.74,2.95,9.64,0.0,0.23,100,0,100.0,True
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DISRUPTION_d88b4a61-f5fa-46a7-9aa9-bb82566c4363,ROAD_CLOSURE,HIGH,0.0,0.0,153,58.99,63.7,52.38,1.97,1.97,1.75,4.72,11.32,0.0,0.22,100,0,100.0,True
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,DISRUPTION_80143bbf-ac31-4bee-af90-bc38d8ab19c7,TRAFFIC_DELAY,LOW,6.0,0.0,157,29.55,30.14,28.52,0.99,1.09,0.95,0.59,1.62,0.1,0.14,100,100,100.0,True
RouteID_00a25e47-65c9-4efc-bfe9-8d9648a0df4e,DISRUPTION_e9b770df-8dc1-4560-a7ef-677a0482e246,ROAD_CLOSURE,MEDIUM,0.0,0.0,157,29.55,31.92,28.62,0.99,0.99,0.95,2.36,3.3,0.0,0.04,100,0,69.72,True
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,DISRUPTION_c1097fda-4d69-4285-b9dc-6f6a8dfedc55,NEW_STOP,MEDIUM,0.0,0.0,174,36.84,38.68,28.49,1.23,1.23,0.95,1.84,10.19,0.0,0.28,100,0,100.0,True
RouteID_00ace8b4-30c6-4a20-a723-74ece636a0da,DISRUPTION_384f57ba-2f04-4a21-b49a-3c618a7dcf05,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,25.0,174,36.84,37.94,23.74,1.23,1.23,0.79,1.11,14.2,0.0,0.44,100,0,100.0,True
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,DISRUPTION_a1616893-2fc0-4b12-a144-828606286e54,TRAFFIC_DELAY,HIGH,58.0,0.0,80,25.35,25.86,24.78,0.85,1.81,0.83,0.51,1.08,0.97,0.98,100,100,100.0,True
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,DISRUPTION_c7af502f-910e-4c15-9487-b2257b9ecbc3,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,35.0,80,25.35,26.11,24.78,0.85,0.85,0.83,0.76,1.33,0.0,0.02,100,0,87.56,True
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,DISRUPTION_8c6ca020-f6d9-4c37-acb1-ae92f1066d05,TRAFFIC_DELAY,MEDIUM,28.0,0.0,141,30.96,31.57,22.93,1.03,1.5,0.76,0.62,8.64,0.47,0.74,100,100,100.0,True
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,DISRUPTION_f599586b-263e-4588-b926-897daf94ba7a,ROAD_CLOSURE,HIGH,0.0,0.0,141,30.96,33.43,22.83,1.03,1.03,0.76,2.48,10.6,0.0,0.27,100,0,100.0,True
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,DISRUPTION_207a2b07-ff9d-44ff-8f25-fa3bf79e7296,TRAFFIC_DELAY,HIGH,58.0,0.0,139,46.5,47.43,45.49,1.55,2.52,1.52,0.93,1.94,0.97,1.0,100,100,100.0,True
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,DISRUPTION_e1bc5189-c1aa-4fd5-9f17-0530650baf11,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,49.0,139,46.5,47.9,33.09,1.55,1.55,1.1,1.4,14.81,0.0,0.45,100,0,100.0,True
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,DISRUPTION_b70c226c-12a3-46ad-b06d-27f2a235f314,ROAD_CLOSURE,MEDIUM,0.0,0.0,159,34.05,36.77,31.61,1.13,1.13,1.05,2.72,5.16,0.0,0.08,100,0,94.76,True
RouteID_00d421bf-f001-4fb0-923e-c343d3d369bc,DISRUPTION_992b81e6-7bee-4878-84cf-991575afcbd9,VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,41.0,159,34.05,35.07,20.35,1.13,1.13,0.68,1.02,14.72,0.0,0.45,100,0,100.0,True
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,DISRUPTION_6d1e8815-3075-40c2-b706-5ce143c0f4a1,ROAD_CLOSURE,MEDIUM,0.0,0.0,136,41.26,44.56,38.5,1.38,1.38,1.28,3.3,6.06,0.0,0.1,100,0,91.78,True
RouteID_00e4885d-4563-4790-bace-6c9e4261ce2a,DISRUPTION_c2f88ec3-3595-49cd-b038-46c3bb30d6a4,VEHICLE_CAPACITY_REDUCTION,LOW,0.0,9.0,136,41.26,42.5,38.51,1.38,1.38,1.28,1.24,3.99,0.0,0.1,100,0,100.0,True
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,DISRUPTION_a8862278-4788-4884-8078-0eb6efb29996,TRAFFIC_DELAY,HIGH,40.0,0.0,167,44.25,45.13,34.77,1.47,2.14,1.16,0.88,10.36,0.67,0.98,100,100,100.0,True
RouteID_00e7fcc6-2f6d-4054-b9ca-e190fa4ecdce,DISRUPTION_d4374445-3e34-4f59-b6b6-06d47aac2e67,NEW_STOP,MEDIUM,0.0,0.0,167,44.25,46.46,34.77,1.47,1.47,1.16,2.21,11.69,0.0,0.31,100,0,100.0,True
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,DISRUPTION_4c85b211-e799-483a-81d3-b51a8df64434,ROAD_CLOSURE,MEDIUM,0.0,0.0,198,33.73,36.43,20.35,1.12,1.12,0.68,2.7,16.08,0.0,0.44,100,0,100.0,True
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,DISRUPTION_1bec358f-a4df-49f9-ab81-f0433fc5d5e5,ROAD_CLOSURE,MEDIUM,0.0,0.0,198,33.73,36.43,20.35,1.12,1.12,0.68,2.7,16.08,0.0,0.44,100,0,100.0,True
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,DISRUPTION_10a97f6c-d577-4811-b985-ed8ca193f540,TRAFFIC_DELAY,HIGH,45.0,0.0,164,50.08,51.09,44.77,1.67,2.42,1.49,1.0,6.32,0.75,0.93,100,100,100.0,True
RouteID_00f414f8-ff9a-4d98-aca2-a6b991a2037d,DISRUPTION_1556a079-92d0-4655-95d8-d11241e7f33e,TRAFFIC_DELAY,HIGH,54.0,0.0,164,50.08,51.09,44.77,1.67,2.57,1.49,1.0,6.32,0.9,1.08,100,100,100.0,True
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,DISRUPTION_d311c9a5-2840-4ca2-8bb7-5a5473500481,ROAD_CLOSURE,MEDIUM,0.0,0.0,146,55.93,60.41,52.01,1.86,1.86,1.73,4.47,8.4,0.0,0.13,100,0,93.85,True
RouteID_00f9c249-33cd-4124-9cf2-b970b157a5ca,DISRUPTION_45e678d4-e97c-43dc-b837-ae537ee99ea0,NEW_STOP,MEDIUM,0.0,0.0,146,55.93,58.73,52.36,1.86,1.86,1.75,2.8,6.37,0.0,0.11,100,0,100.0,True
