DisruptionType,Severity,DelayMinutes,CapacityReduction,TotalStops,StopsLost,DistanceChange(KM),TimeChange(Hours),RecoveryEfficiency(%),MLRiskScore,MLRiskLevel
TRAFFIC_DELAY,HIGH,48.62,0.0,156,17,-4.95,-0.206,10.21,100,HIGH
TRAFFIC_DELAY,HIGH,49.82,0.0,160,13,-4.75,-0.179,11.13,100,HIGH
TRAFFIC_DELAY,HIGH,58.65,0.0,172,13,-4.91,-0.196,10.31,100,HIGH
TRAFFIC_DELAY,HIGH,51.27,0.0,156,12,-5.86,-0.17,9.86,100,HIGH
TRAFFIC_DELAY,HIGH,56.45,0.0,157,12,-5.66,-0.197,10.11,100,HIGH
TRAFFIC_DELAY,HIGH,65.89,5.0,158,13,-6.02,-0.16,10.1,100,HIGH
TRAFFIC_DELAY,HIGH,65.47,0.0,164,15,-4.89,-0.162,11.12,100,HIGH
TRAFFIC_DELAY,HIGH,47.54,0.0,161,12,-5.95,-0.202,10.57,100,HIGH
TRAFFIC_DELAY,HIGH,49.93,5.0,170,16,-5.89,-0.175,10.97,100,HIGH
TRAFFIC_DELAY,HIGH,65.76,5.0,167,16,-5.49,-0.153,9.72,100,HIGH
TRAFFIC_DELAY,HIGH,40.64,5.0,159,13,-5.3,-0.177,11.14,100,HIGH
TRAFFIC_DELAY,HIGH,40.99,0.0,167,13,-5.71,-0.188,10.91,100,HIGH
TRAFFIC_DELAY,HIGH,55.84,5.0,172,14,-5.54,-0.167,10.5,100,HIGH
TRAFFIC_DELAY,HIGH,53.64,5.0,164,15,-5.79,-0.18,10.48,100,HIGH
TRAFFIC_DELAY,HIGH,45.77,0.0,172,14,-5.43,-0.195,9.63,100,HIGH
TRAFFIC_DELAY,HIGH,53.19,0.0,163,16,-5.11,-0.154,11.04,100,HIGH
TRAFFIC_DELAY,HIGH,66.6,0.0,160,17,-4.64,-0.17,9.86,100,HIGH
TRAFFIC_DELAY,HIGH,53.6,0.0,157,14,-6.02,-0.191,10.47,100,HIGH
TRAFFIC_DELAY,HIGH,47.59,0.0,170,13,-4.93,-0.169,10.07,100,HIGH
TRAFFIC_DELAY,HIGH,36.82,0.0,170,13,-4.99,-0.197,10.85,92,HIGH
TRAFFIC_DELAY,HIGH,54.3,0.0,162,11,-5.52,-0.163,9.67,100,HIGH
TRAFFIC_DELAY,HIGH,34.89,0.0,156,13,-5.12,-0.158,10.48,92,HIGH
TRAFFIC_DELAY,HIGH,44.23,0.0,156,17,-5.86,-0.199,9.96,100,HIGH
TRAFFIC_DELAY,HIGH,40.57,0.0,166,12,-5.36,-0.195,9.9,100,HIGH
TRAFFIC_DELAY,HIGH,35.67,0.0,158,12,-5.18,-0.191,9.78,92,HIGH
TRAFFIC_DELAY,HIGH,55.56,0.0,157,13,-5.79,-0.168,10.26,100,HIGH
TRAFFIC_DELAY,HIGH,34.32,0.0,171,12,-5.21,-0.19,9.65,92,HIGH
TRAFFIC_DELAY,HIGH,43.7,5.0,171,14,-5.66,-0.189,10.0,100,HIGH
TRAFFIC_DELAY,HIGH,50.35,0.0,158,14,-5.69,-0.156,10.46,100,HIGH
TRAFFIC_DELAY,HIGH,36.45,0.0,167,12,-4.6,-0.155,10.92,92,HIGH
TRAFFIC_DELAY,HIGH,44.42,0.0,166,15,-5.81,-0.172,10.3,100,HIGH
TRAFFIC_DELAY,HIGH,34.83,0.0,164,15,-4.59,-0.173,10.55,92,HIGH
TRAFFIC_DELAY,HIGH,53.02,0.0,170,15,-5.5,-0.204,11.06,100,HIGH
TRAFFIC_DELAY,HIGH,48.07,5.0,165,14,-5.14,-0.188,10.29,100,HIGH
TRAFFIC_DELAY,HIGH,54.93,0.0,159,16,-5.56,-0.164,9.99,100,HIGH
TRAFFIC_DELAY,HIGH,42.24,0.0,170,12,-5.61,-0.157,10.07,100,HIGH
TRAFFIC_DELAY,HIGH,34.27,0.0,171,13,-5.31,-0.19,10.11,92,HIGH
TRAFFIC_DELAY,HIGH,34.63,0.0,169,16,-4.97,-0.163,10.75,92,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,50.26,185,89,-26.71,-0.983,52.66,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,44.69,184,114,-31.09,-0.846,52.93,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,42.69,176,120,-27.92,-0.819,52.95,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,54.28,180,123,-29.52,-0.998,49.45,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,46.99,192,92,-32.75,-1.041,46.88,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,37.86,177,106,-28.37,-1.072,48.7,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,49.46,179,118,-32.06,-1.057,49.28,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,51.92,182,113,-25.25,-0.84,53.57,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,53.0,188,93,-32.41,-0.986,48.69,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,51.1,184,106,-28.22,-1.077,46.86,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,44.26,188,107,-30.97,-1.037,52.32,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,47.53,179,123,-27.8,-0.898,52.67,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,37.02,193,124,-24.92,-1.073,50.05,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,41.46,180,112,-25.2,-0.864,47.67,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,48.35,192,108,-32.36,-0.829,48.16,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,38.76,179,97,-26.02,-1.002,48.99,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,38.23,180,124,-33.09,-1.017,50.12,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,47.89,182,94,-25.7,-0.838,53.22,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,48.09,175,101,-32.63,-1.065,46.35,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,51.11,182,103,-33.08,-0.925,51.76,100,HIGH
TRAFFIC_DELAY,HIGH,46.58,0.0,160,19,-9.38,-0.312,20.15,100,HIGH
TRAFFIC_DELAY,HIGH,47.29,0.0,171,17,-10.18,-0.36,21.15,100,HIGH
TRAFFIC_DELAY,HIGH,45.14,0.0,169,15,-9.33,-0.284,22.33,100,HIGH
TRAFFIC_DELAY,HIGH,34.57,0.0,167,19,-8.18,-0.298,19.34,95,HIGH
TRAFFIC_DELAY,HIGH,39.52,0.0,173,17,-10.47,-0.325,21.07,95,HIGH
TRAFFIC_DELAY,HIGH,38.07,5.0,172,17,-9.24,-0.347,21.32,100,HIGH
TRAFFIC_DELAY,HIGH,48.06,5.0,166,14,-9.05,-0.329,20.53,100,HIGH
TRAFFIC_DELAY,HIGH,48.08,5.0,167,17,-9.33,-0.359,20.23,100,HIGH
TRAFFIC_DELAY,HIGH,43.95,0.0,166,15,-10.68,-0.319,20.1,100,HIGH
TRAFFIC_DELAY,HIGH,49.6,0.0,168,16,-8.64,-0.328,20.37,100,HIGH
TRAFFIC_DELAY,HIGH,39.2,5.0,164,15,-8.44,-0.334,19.85,100,HIGH
TRAFFIC_DELAY,HIGH,47.94,0.0,172,17,-10.81,-0.33,19.99,100,HIGH
TRAFFIC_DELAY,HIGH,36.9,0.0,162,15,-8.3,-0.284,20.75,95,HIGH
TRAFFIC_DELAY,HIGH,37.29,0.0,170,16,-8.96,-0.281,20.81,95,HIGH
TRAFFIC_DELAY,HIGH,40.23,0.0,171,20,-8.22,-0.299,21.86,100,HIGH
TRAFFIC_DELAY,HIGH,33.69,0.0,168,17,-10.67,-0.295,21.71,95,HIGH
TRAFFIC_DELAY,HIGH,44.41,0.0,167,14,-8.77,-0.34,22.14,100,HIGH
TRAFFIC_DELAY,HIGH,40.64,0.0,171,19,-9.06,-0.31,19.61,100,HIGH
TRAFFIC_DELAY,HIGH,33.65,0.0,174,16,-8.65,-0.303,19.65,95,HIGH
TRAFFIC_DELAY,HIGH,41.87,5.0,171,16,-9.89,-0.318,21.15,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,31.8,172,70,-17.2,-0.672,44.39,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,37.03,172,77,-16.65,-0.528,41.34,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,35.35,168,62,-19.74,-0.52,45.97,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,36.98,182,63,-17.53,-0.685,46.13,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,30.89,176,81,-19.82,-0.639,43.91,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,34.34,171,65,-17.12,-0.587,43.72,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,32.37,177,68,-18.52,-0.538,43.54,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,29.38,179,73,-18.34,-0.609,41.67,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,27.96,174,79,-19.49,-0.617,43.48,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,35.35,171,81,-17.58,-0.678,46.97,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,25.62,181,81,-18.48,-0.662,41.25,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,26.83,174,64,-19.79,-0.63,43.83,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,32.1,178,79,-17.82,-0.638,46.36,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,34.07,177,74,-16.63,-0.672,42.89,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,31.53,170,72,-17.17,-0.641,44.97,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,30.94,180,81,-18.48,-0.69,45.37,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,34.02,173,60,-18.46,-0.647,46.2,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,26.17,170,84,-16.06,-0.582,45.67,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,33.76,172,81,-18.85,-0.635,43.96,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,35.05,172,88,-17.23,-0.551,43.16,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,35.31,165,73,-13.72,-0.475,36.32,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,34.48,163,83,-14.89,-0.394,40.14,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,33.93,153,59,-12.07,-0.507,41.7,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,48.95,159,81,-12.16,-0.518,41.46,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,39.02,153,78,-12.49,-0.5,39.85,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,41.61,158,83,-13.07,-0.439,40.66,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,33.34,152,83,-12.67,-0.471,37.21,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,38.74,154,73,-14.24,-0.393,40.21,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,40.33,156,73,-15.18,-0.465,37.32,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,39.32,161,69,-14.93,-0.439,39.03,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,40.54,159,73,-11.92,-0.498,38.94,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,40.69,152,71,-14.79,-0.405,38.22,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,38.92,154,64,-14.29,-0.447,36.36,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,47.02,159,68,-13.91,-0.426,37.39,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,45.92,155,62,-14.33,-0.424,36.81,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,48.59,152,84,-12.22,-0.447,38.16,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,34.2,158,63,-11.75,-0.416,39.73,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,47.73,152,75,-13.03,-0.505,38.4,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,43.04,166,68,-13.91,-0.451,37.98,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,35.1,158,81,-13.65,-0.514,41.03,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,49.24,140,69,-14.21,-0.437,26.89,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,41.79,138,73,-14.18,-0.475,29.5,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,50.5,134,57,-13.63,-0.47,29.54,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,41.94,140,57,-12.47,-0.481,27.03,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,42.64,132,73,-13.08,-0.434,28.19,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,57.99,143,55,-11.76,-0.487,26.24,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,46.17,140,69,-12.59,-0.459,28.01,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,48.68,143,57,-13.57,-0.404,29.59,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,50.9,141,59,-14.5,-0.397,26.27,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,53.02,131,65,-13.25,-0.393,26.28,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,44.53,133,65,-12.85,-0.395,29.91,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,52.73,140,64,-11.75,-0.512,29.23,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,52.11,134,68,-14.81,-0.416,28.06,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,40.21,139,67,-11.58,-0.462,30.27,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,45.33,137,53,-14.34,-0.409,26.45,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,48.49,132,72,-14.8,-0.426,29.53,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,50.19,137,63,-14.96,-0.454,27.85,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,49.75,143,67,-14.37,-0.453,27.79,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,39.68,144,72,-11.48,-0.501,28.23,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,40.57,138,51,-11.61,-0.394,26.11,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,29.84,168,69,-12.78,-0.43,35.95,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,24.67,169,57,-14.49,-0.468,35.16,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,29.88,181,60,-12.65,-0.464,33.18,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,22.59,180,64,-15.0,-0.491,35.22,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,21.67,175,74,-12.05,-0.498,35.48,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,21.2,179,51,-12.64,-0.379,37.12,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,20.58,167,74,-14.61,-0.496,37.32,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,25.15,175,62,-15.05,-0.492,34.49,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,25.37,169,64,-13.41,-0.386,36.69,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,24.77,180,51,-14.48,-0.379,33.77,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,20.87,173,60,-12.6,-0.408,35.87,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,22.2,173,67,-11.43,-0.486,34.65,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,29.07,177,64,-13.74,-0.446,36.63,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,28.68,168,56,-11.75,-0.395,33.8,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,26.8,179,65,-14.09,-0.395,36.71,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,28.79,164,50,-14.36,-0.404,36.86,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,28.32,181,62,-11.16,-0.412,35.3,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,21.16,169,59,-11.17,-0.482,32.7,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,24.32,178,70,-12.68,-0.398,36.03,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,26.88,174,51,-12.32,-0.467,32.37,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,35.4,144,50,-20.94,-0.723,45.23,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,36.64,145,66,-16.24,-0.54,42.85,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,38.74,139,48,-17.0,-0.624,47.05,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,37.21,148,67,-20.04,-0.577,41.21,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,39.1,144,71,-16.96,-0.617,47.05,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,50.99,148,66,-18.61,-0.594,42.83,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,38.07,145,49,-19.8,-0.605,46.51,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,37.59,149,69,-20.51,-0.681,46.38,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,48.1,144,55,-21.28,-0.718,41.91,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,44.85,147,54,-19.27,-0.578,41.74,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,39.03,139,67,-17.86,-0.622,40.73,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,42.65,149,62,-17.76,-0.667,46.48,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,42.66,145,51,-17.47,-0.722,41.62,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,46.48,139,61,-16.15,-0.597,44.16,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,10.0,35.82,141,68,-18.13,-0.596,47.28,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,48.17,148,53,-17.05,-0.555,44.97,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,50.5,148,49,-19.17,-0.67,46.55,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,40.24,150,68,-16.55,-0.705,44.36,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,0.0,42.67,146,49,-17.03,-0.618,45.56,100,HIGH
VEHICLE_CAPACITY_REDUCTION,HIGH,5.0,37.14,140,69,-17.34,-0.72,42.94,100,HIGH
ROAD_CLOSURE,HIGH,10.0,0.0,187,33,-11.13,-0.351,23.57,100,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,181,42,-11.27,-0.432,21.51,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,189,39,-13.76,-0.438,23.89,96,HIGH
ROAD_CLOSURE,HIGH,5.0,5.0,191,38,-14.2,-0.353,24.33,100,HIGH
ROAD_CLOSURE,HIGH,5.0,0.0,189,44,-12.34,-0.456,24.45,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,192,41,-13.92,-0.374,23.47,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,188,44,-12.04,-0.423,23.5,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,188,39,-10.79,-0.402,21.6,96,HIGH
ROAD_CLOSURE,HIGH,0.0,5.0,185,41,-11.14,-0.397,24.69,100,HIGH
ROAD_CLOSURE,HIGH,10.0,0.0,189,37,-13.41,-0.365,24.69,100,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,196,33,-11.16,-0.412,22.45,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,184,36,-12.83,-0.435,21.85,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,196,44,-13.0,-0.407,24.25,96,HIGH
ROAD_CLOSURE,HIGH,5.0,0.0,182,46,-11.3,-0.362,22.21,96,HIGH
ROAD_CLOSURE,HIGH,10.0,5.0,182,33,-12.91,-0.376,21.9,100,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,194,41,-13.09,-0.397,22.96,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,190,42,-13.76,-0.404,23.08,96,HIGH
ROAD_CLOSURE,HIGH,5.0,0.0,184,34,-10.64,-0.386,23.75,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,184,34,-13.03,-0.403,24.33,96,HIGH
ROAD_CLOSURE,HIGH,0.0,0.0,192,45,-14.04,-0.433,23.02,96,HIGH
TRAFFIC_DELAY,HIGH,46.19,5.0,156,6,-10.76,-0.446,15.67,100,HIGH
TRAFFIC_DELAY,HIGH,47.6,0.0,162,5,-12.72,-0.362,15.08,96,HIGH
TRAFFIC_DELAY,HIGH,30.19,0.0,151,6,-13.97,-0.441,13.79,88,HIGH
TRAFFIC_DELAY,HIGH,31.38,0.0,158,5,-11.54,-0.431,15.42,88,HIGH
TRAFFIC_DELAY,HIGH,44.81,0.0,151,6,-11.72,-0.385,15.06,96,HIGH
TRAFFIC_DELAY,HIGH,41.54,0.0,150,5,-12.88,-0.396,14.61,96,HIGH
TRAFFIC_DELAY,HIGH,36.53,5.0,158,4,-12.49,-0.369,15.05,88,HIGH
TRAFFIC_DELAY,HIGH,39.01,0.0,152,6,-12.24,-0.407,13.65,88,HIGH
TRAFFIC_DELAY,HIGH,36.66,0.0,155,5,-11.24,-0.407,14.48,88,HIGH
TRAFFIC_DELAY,HIGH,43.81,5.0,156,6,-10.41,-0.373,13.61,100,HIGH
TRAFFIC_DELAY,HIGH,46.76,0.0,149,5,-11.73,-0.373,14.68,93,HIGH
TRAFFIC_DELAY,HIGH,32.49,5.0,155,5,-11.38,-0.386,15.41,93,HIGH
TRAFFIC_DELAY,HIGH,35.32,5.0,154,5,-11.8,-0.469,15.45,93,HIGH
TRAFFIC_DELAY,HIGH,31.65,5.0,155,4,-12.26,-0.436,13.83,88,HIGH
TRAFFIC_DELAY,HIGH,34.25,5.0,154,5,-10.66,-0.449,14.44,93,HIGH
TRAFFIC_DELAY,HIGH,31.44,0.0,150,5,-13.34,-0.457,14.11,88,HIGH
TRAFFIC_DELAY,HIGH,41.16,0.0,150,5,-13.65,-0.443,14.85,96,HIGH
TRAFFIC_DELAY,HIGH,35.14,5.0,156,6,-11.89,-0.431,13.81,93,HIGH
TRAFFIC_DELAY,HIGH,38.06,0.0,155,4,-11.2,-0.455,14.66,83,HIGH
TRAFFIC_DELAY,HIGH,32.73,0.0,152,5,-12.56,-0.416,14.12,88,HIGH
TRAFFIC_DELAY,HIGH,60.74,0.0,137,0,-1.16,-0.027,2.19,82,HIGH
TRAFFIC_DELAY,HIGH,55.92,0.0,133,0,-1.07,-0.034,2.0,82,HIGH
TRAFFIC_DELAY,HIGH,64.51,0.0,143,1,-0.94,-0.026,1.99,85,HIGH
TRAFFIC_DELAY,HIGH,49.06,5.0,138,0,-0.93,-0.029,1.98,87,HIGH
TRAFFIC_DELAY,HIGH,45.46,0.0,140,1,-0.93,-0.03,2.25,85,HIGH
TRAFFIC_DELAY,HIGH,58.96,0.0,140,0,-0.96,-0.032,2.29,82,HIGH
TRAFFIC_DELAY,HIGH,59.68,0.0,144,0,-1.0,-0.026,2.15,82,HIGH
TRAFFIC_DELAY,HIGH,48.58,0.0,137,0,-0.92,-0.03,1.99,82,HIGH
TRAFFIC_DELAY,HIGH,65.43,0.0,134,1,-1.06,-0.033,2.27,85,HIGH
TRAFFIC_DELAY,HIGH,55.08,5.0,143,0,-1.16,-0.034,2.14,87,HIGH
TRAFFIC_DELAY,HIGH,58.61,0.0,142,0,-0.89,-0.032,2.0,82,HIGH
TRAFFIC_DELAY,HIGH,66.18,0.0,136,0,-0.87,-0.028,2.05,82,HIGH
