RouteID,DisruptionID,DisruptionType,Severity,DelayMinutes,CapacityReduction,TotalStops,StopsLost,DistanceChange(KM),TimeChange(Hours),RecoveryEfficiency(%),RecoverySuccessful,MLRisk,HIGH_Probability,MEDIUM_Probability,LOW_Probability,MLConfidence(%),OperationalRiskScore,FinalRiskScore,FinalRiskLevel,PriorityScore,AI_Decision,ExplanationCategory,CompleteExplanation
RouteID_0036cf37-1c93-48f8-b337-3dd6d1a195d8,DISRUPTION_8353c03c-43c3-4640-b9ab-853d61bf0e42,ROAD_CLOSURE,HIGH,0,0,190,40,-12.39,-0.41,23.62,True,HIGH,99.39,0.61,0.0,99.39,70,80.14,HIGH,86.01,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with high severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 190 stops, making it operationally complex and more sensitive to disruptions. 40 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.41 hours. Route distance was reduced by approximately 12.39 KM. The rerouting process achieved a recovery efficiency of 23.62%. The machine learning model classified this scenario as HIGH risk with 99.39% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 70.00. Final risk score: 80.14. Priority score: 86.01. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
RouteID_00ca3fbf-8953-4fbb-9c59-96fce68e6504,DISRUPTION_207a2b07-ff9d-44ff-8f25-fa3bf79e7296,TRAFFIC_DELAY,HIGH,58,0,138,0,-1.01,-0.03,2.18,True,HIGH,99.95,0.05,0.0,99.95,70,80.47,HIGH,85.82,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,A traffic delay of 58 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 138 planned stops. The rerouting scenario produced a relatively small time impact of 0.03 hours. Route distance was reduced by approximately 1.01 KM. The rerouting process achieved a recovery efficiency of 2.18%. The machine learning model classified this scenario as HIGH risk with 99.95% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 70.00. Final risk score: 80.47. Priority score: 85.82. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance.
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,DISRUPTION_a1616893-2fc0-4b12-a144-828606286e54,TRAFFIC_DELAY,HIGH,58,0,80,0,-0.57,-0.02,2.25,True,HIGH,99.91,0.09,0.0,99.91,70,80.45,HIGH,85.8,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,A traffic delay of 58 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 80 planned stops. The rerouting scenario produced a relatively small time impact of 0.02 hours. Route distance was reduced by approximately 0.57 KM. The rerouting process achieved a recovery efficiency of 2.25%. The machine learning model classified this scenario as HIGH risk with 99.91% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 70.00. Final risk score: 80.45. Priority score: 85.80. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance.
RouteID_00437423-5a8f-4fac-8efa-85264f0a3944,DISRUPTION_ef6528c4-be5e-46ee-b4c5-6ab463ad471a,TRAFFIC_DELAY,MEDIUM,26,0,161,11,-17.39,-0.58,24.78,True,HIGH,99.5,0.5,0.0,99.5,67,79.3,HIGH,85.18,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,"A traffic delay of 26 minutes was detected with medium severity. The delay can increase travel time and reduce delivery reliability. The route contains 161 stops, indicating a relatively high delivery workload. 11 stops were affected during the disruption scenario. The rerouting scenario produced a moderate time impact of 0.58 hours. Route distance was reduced by approximately 17.39 KM. The rerouting process achieved a recovery efficiency of 24.78%. The machine learning model classified this scenario as HIGH risk with 99.50% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 67.00. Final risk score: 79.30. Priority score: 85.18. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance."
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DISRUPTION_5a3ed1dd-482f-4573-8829-b6f0eff5ebb8,VEHICLE_CAPACITY_REDUCTION,MEDIUM,0,14,155,26,-14.88,-0.5,30.68,True,HIGH,99.02,0.98,0.0,99.02,67,79.02,HIGH,85.17,IMMEDIATE_LOAD_REBALANCE,URGENT_ACTION,"Vehicle capacity was reduced by 14%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 155 stops, indicating a relatively high delivery workload. 26 stops were affected during the disruption scenario. The rerouting scenario produced a moderate time impact of 0.50 hours. Route distance was reduced by approximately 14.88 KM. The rerouting process achieved a recovery efficiency of 30.68%. The machine learning model classified this scenario as HIGH risk with 99.02% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 67.00. Final risk score: 79.02. Priority score: 85.17. RouteMind recommends immediate load rebalancing because vehicle capacity has been reduced. The remaining delivery workload should be redistributed before continuing the route."
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,DISRUPTION_4c85b211-e799-483a-81d3-b51a8df64434,ROAD_CLOSURE,MEDIUM,0,0,198,48,-13.38,-0.45,39.67,True,HIGH,99.96,0.04,0.0,99.96,60,77.48,HIGH,84.23,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with medium severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 198 stops, making it operationally complex and more sensitive to disruptions. 48 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.45 hours. Route distance was reduced by approximately 13.38 KM. The rerouting process achieved a recovery efficiency of 39.67%. The machine learning model classified this scenario as HIGH risk with 99.96% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 60.00. Final risk score: 77.48. Priority score: 84.23. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
RouteID_00ead793-e8f0-4ac6-a2d7-d988f05cc715,DISRUPTION_1bec358f-a4df-49f9-ab81-f0433fc5d5e5,ROAD_CLOSURE,MEDIUM,0,0,198,48,-13.38,-0.45,39.66,True,HIGH,99.96,0.04,0.0,99.96,60,77.48,HIGH,84.23,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with medium severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 198 stops, making it operationally complex and more sensitive to disruptions. 48 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.45 hours. Route distance was reduced by approximately 13.38 KM. The rerouting process achieved a recovery efficiency of 39.66%. The machine learning model classified this scenario as HIGH risk with 99.96% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 60.00. Final risk score: 77.48. Priority score: 84.23. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
RouteID_00573a3d-b909-42ee-8a99-c6474309d96b,DISRUPTION_1a37a412-f55f-48f1-89e8-9d6f613f5eca,TRAFFIC_DELAY,HIGH,39,0,154,5,-12.17,-0.41,15.1,True,HIGH,100.0,0.0,0.0,100.0,67,79.6,HIGH,84.22,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,"A traffic delay of 39 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 154 stops, indicating a relatively high delivery workload. 5 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.41 hours. Route distance was reduced by approximately 12.17 KM. The rerouting process achieved a recovery efficiency of 15.10%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 67.00. Final risk score: 79.60. Priority score: 84.22. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance."
RouteID_00747543-3f2f-47ae-a2f2-91b30ce207ab,DISRUPTION_072af70c-aac0-4085-8851-6777862541d6,ROAD_CLOSURE,MEDIUM,0,0,173,23,-9.84,-0.33,16.95,True,HIGH,98.33,1.67,0.0,98.33,60,76.51,HIGH,83.31,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with medium severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 173 stops, indicating a relatively high delivery workload. 23 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.33 hours. Route distance was reduced by approximately 9.84 KM. The rerouting process achieved a recovery efficiency of 16.95%. The machine learning model classified this scenario as HIGH risk with 98.33% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 60.00. Final risk score: 76.51. Priority score: 83.31. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
RouteID_0016bc70-cb8d-48b0-aa55-8ee50bdcdb59,DISRUPTION_d45948d9-bc2e-492b-aefe-d9c603f46037,TRAFFIC_DELAY,HIGH,43,0,106,0,-0.39,-0.01,0.96,True,HIGH,99.91,0.09,0.0,99.91,70,80.45,HIGH,82.05,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,A traffic delay of 43 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 106 planned stops. The rerouting scenario produced a relatively small time impact of 0.01 hours. Route distance was reduced by approximately 0.39 KM. The rerouting process achieved a recovery efficiency of 0.96%. The machine learning model classified this scenario as HIGH risk with 99.91% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 70.00. Final risk score: 80.45. Priority score: 82.05. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance.
RouteID_0074e307-23c1-4b15-afa2-e58b45e4403c,DISRUPTION_6d4a41cd-2966-4653-9ba5-20d04b3cf839,ROAD_CLOSURE,HIGH,0,0,161,11,-9.46,-0.32,31.07,True,HIGH,100.0,0.0,0.0,100.0,65,79.0,HIGH,78.55,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with high severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 161 stops, indicating a relatively high delivery workload. 11 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.32 hours. Route distance was reduced by approximately 9.46 KM. The rerouting process achieved a recovery efficiency of 31.07%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 65.00. Final risk score: 79.00. Priority score: 78.55. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
RouteID_001b4ee3-c4f2-467f-932b-c85524d1021f,DISRUPTION_ca4bf0e3-e06f-4188-8aef-9abbb2d56409,TRAFFIC_DELAY,HIGH,36,0,141,0,-4.4,-0.15,9.63,True,HIGH,99.66,0.34,0.0,99.66,62,77.9,HIGH,78.48,IMMEDIATE_TRAFFIC_REROUTE,URGENT_ACTION,A traffic delay of 36 minutes was detected with high severity. The delay can increase travel time and reduce delivery reliability. The route contains 141 planned stops. The rerouting scenario produced a relatively small time impact of 0.15 hours. Route distance was reduced by approximately 4.40 KM. The rerouting process achieved a recovery efficiency of 9.63%. The machine learning model classified this scenario as HIGH risk with 99.66% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 62.00. Final risk score: 77.90. Priority score: 78.48. RouteMind recommends immediate traffic rerouting to avoid the affected congestion and protect delivery time performance.
RouteID_006f581c-3087-4edf-8802-278b078157b9,DISRUPTION_67a4f0ee-ee40-4e90-90e9-884c4e56bef9,VEHICLE_CAPACITY_REDUCTION,LOW,0,10,184,50,-20.29,-0.68,35.9,True,HIGH,84.39,15.61,0.0,84.39,57,67.31,MEDIUM,74.78,REBALANCE_LOAD_AND_REROUTE,REROUTE_RECOMMENDED,"Vehicle capacity was reduced by 10%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 184 stops, making it operationally complex and more sensitive to disruptions. 50 stops were affected during the disruption scenario. The rerouting scenario produced a moderate time impact of 0.68 hours. Route distance was reduced by approximately 20.29 KM. The rerouting process achieved a recovery efficiency of 35.90%. The machine learning model classified this scenario as HIGH risk with 84.39% confidence. The combined ML prediction and operational factors indicate a moderate-risk scenario requiring active monitoring and route adjustment where necessary. Operational risk score: 57.00. Final risk score: 67.31. Priority score: 74.78. RouteMind recommends redistributing the delivery load and rerouting the affected vehicle."
RouteID_0021a2aa-780f-460d-b09a-f301709e2523,DISRUPTION_dff6dfaf-90f0-45bd-830e-a847e06fff18,ROAD_CLOSURE,HIGH,0,0,155,5,-10.03,-0.33,20.69,True,HIGH,99.5,0.5,0.0,99.5,60,77.2,HIGH,72.72,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with high severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 155 stops, indicating a relatively high delivery workload. 5 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.33 hours. Route distance was reduced by approximately 10.03 KM. The rerouting process achieved a recovery efficiency of 20.69%. The machine learning model classified this scenario as HIGH risk with 99.50% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 60.00. Final risk score: 77.20. Priority score: 72.72. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
RouteID_00575a14-7d19-4291-8853-8f7095ed1bc6,DISRUPTION_ef588552-1a3c-45e8-88bc-1ca4bad2e5e9,TRAFFIC_DELAY,LOW,15,0,176,27,-9.51,-0.32,23.57,True,MEDIUM,0.19,99.81,0.0,99.81,51,53.73,MEDIUM,71.33,REROUTE_TRAFFIC_AVOIDANCE,REROUTE_RECOMMENDED,"A traffic delay of 15 minutes was detected with low severity. The delay can increase travel time and reduce delivery reliability. The route contains 176 stops, indicating a relatively high delivery workload. 27 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.32 hours. Route distance was reduced by approximately 9.51 KM. The rerouting process achieved a recovery efficiency of 23.57%. The machine learning model classified this scenario as MEDIUM risk with 99.81% confidence. The combined ML prediction and operational factors indicate a moderate-risk scenario requiring active monitoring and route adjustment where necessary. Operational risk score: 51.00. Final risk score: 53.73. Priority score: 71.33. RouteMind recommends traffic-aware rerouting to reduce congestion-related delays."
RouteID_00930ddc-25f9-4371-a437-1e37c9d0a80d,DISRUPTION_d88b4a61-f5fa-46a7-9aa9-bb82566c4363,ROAD_CLOSURE,HIGH,0,0,153,3,-6.6,-0.22,11.19,True,HIGH,99.36,0.64,0.0,99.36,60,77.12,HIGH,71.14,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with high severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 153 stops, indicating a relatively high delivery workload. 3 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.22 hours. Route distance was reduced by approximately 6.60 KM. The rerouting process achieved a recovery efficiency of 11.19%. The machine learning model classified this scenario as HIGH risk with 99.36% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 60.00. Final risk score: 77.12. Priority score: 71.14. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
RouteID_00b8cd9c-613a-4519-b3fd-2b7174f1cff3,DISRUPTION_c7af502f-910e-4c15-9487-b2257b9ecbc3,VEHICLE_CAPACITY_REDUCTION,HIGH,0,35,80,0,-0.57,-0.02,2.25,True,HIGH,100.0,0.0,0.0,100.0,67,79.6,HIGH,70.72,IMMEDIATE_LOAD_REBALANCE,URGENT_ACTION,Vehicle capacity was reduced by 35%. This can prevent the vehicle from serving all planned stops and may require load redistribution or rerouting. The route contains 80 planned stops. The rerouting scenario produced a relatively small time impact of 0.02 hours. Route distance was reduced by approximately 0.57 KM. The rerouting process achieved a recovery efficiency of 2.25%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 67.00. Final risk score: 79.60. Priority score: 70.72. RouteMind recommends immediate load rebalancing because vehicle capacity has been reduced. The remaining delivery workload should be redistributed before continuing the route.
RouteID_00575ca4-8a63-49d2-96c8-9b347be5ba6c,DISRUPTION_34f850bd-d328-402b-be0b-cee00f2a4e2d,ROAD_CLOSURE,HIGH,0,0,59,1,-0.95,-0.03,3.66,True,HIGH,100.0,0.0,0.0,100.0,60,77.5,HIGH,70.0,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with high severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 59 planned stops. 1 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.03 hours. Route distance was reduced by approximately 0.95 KM. The rerouting process achieved a recovery efficiency of 3.66%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 60.00. Final risk score: 77.50. Priority score: 70.00. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
RouteID_00bea18c-ee16-4a18-a916-7a447c733a7d,DISRUPTION_f599586b-263e-4588-b926-897daf94ba7a,ROAD_CLOSURE,HIGH,0,0,141,1,-8.12,-0.27,26.23,True,HIGH,100.0,0.0,0.0,100.0,60,77.5,HIGH,70.0,IMMEDIATE_REROUTE,URGENT_ACTION,"A road closure was detected with high severity. The affected road may become unavailable, requiring the route to avoid the disrupted segment. The route contains 141 planned stops. 1 stops were affected during the disruption scenario. The rerouting scenario produced a relatively small time impact of 0.27 hours. Route distance was reduced by approximately 8.12 KM. The rerouting process achieved a recovery efficiency of 26.23%. The machine learning model classified this scenario as HIGH risk with 100.00% confidence. The combined ML prediction and operational factors indicate a high-risk scenario requiring immediate action. Operational risk score: 60.00. Final risk score: 77.50. Priority score: 70.00. RouteMind recommends immediate dynamic rerouting to minimize disruption impact and protect delivery performance."
